DATE,O,H,L,C,VOLUME
 2020/09/02,1.132,1.134,1.115,1.124,34718400
 2020/09/03,1.122,1.15,1.121,1.137,47004600
 2020/09/04,1.117,1.13,1.112,1.125,28017900
 2020/09/07,1.123,1.137,1.115,1.118,28948300
 2020/09/08,1.118,1.16,1.115,1.159,64650600
 2020/09/09,1.15,1.175,1.14,1.151,73514000
 2020/09/10,1.158,1.171,1.128,1.131,52844500
 2020/09/11,1.111,1.131,1.111,1.123,29459100
 2020/09/14,1.122,1.127,1.113,1.118,28127900
 2020/09/15,1.12,1.123,1.111,1.121,24299000
 2020/09/16,1.12,1.13,1.112,1.123,35079900
 2020/09/17,1.124,1.131,1.117,1.12,33163400
 2020/09/18,1.12,1.171,1.12,1.165,74392704
 2020/09/21,1.188,1.188,1.157,1.166,61101500
 2020/09/22,1.153,1.16,1.131,1.136,47199600
 2020/09/23,1.135,1.143,1.124,1.128,44130700
 2020/09/24,1.126,1.126,1.098,1.099,44866100
 2020/09/25,1.1,1.117,1.1,1.109,48973100
 2020/09/28,1.115,1.142,1.115,1.133,53887000
 2020/09/29,1.138,1.138,1.12,1.122,60413300
 2020/09/30,1.122,1.125,1.096,1.1,51842800
 2020/10/09,1.11,1.139,1.11,1.129,60768700
 2020/10/12,1.135,1.154,1.13,1.154,58128900
 2020/10/13,1.158,1.166,1.148,1.161,57013300
 2020/10/14,1.164,1.166,1.144,1.148,44057600
 2020/10/15,1.146,1.196,1.145,1.17,95399504
 2020/10/16,1.171,1.207,1.16,1.195,120693904
 2020/10/19,1.196,1.196,1.163,1.164,66081500
 2020/10/20,1.16,1.165,1.15,1.162,41952800
 2020/10/21,1.163,1.167,1.144,1.149,45502100
 2020/10/22,1.142,1.156,1.139,1.145,44410000
 2020/10/23,1.144,1.148,1.128,1.132,43825300
 2020/10/26,1.125,1.128,1.114,1.123,45101700
 2020/10/27,1.115,1.122,1.112,1.121,43445700
 2020/10/28,1.119,1.125,1.107,1.122,42699100
 2020/10/29,1.11,1.113,1.101,1.111,45978300
 2020/10/30,1.108,1.126,1.097,1.101,62040900
 2020/11/02,1.101,1.119,1.101,1.116,52185500
 2020/11/03,1.118,1.139,1.117,1.136,54672100
 2020/11/04,1.132,1.155,1.132,1.152,71766496
 2020/11/05,1.151,1.157,1.144,1.155,51393600
 2020/11/06,1.154,1.169,1.148,1.162,71749400
 2020/11/09,1.165,1.193,1.165,1.189,94625296
 2020/11/10,1.2,1.2,1.171,1.177,55037000
 2020/11/11,1.178,1.22,1.164,1.202,120524296
 2020/11/12,1.196,1.199,1.181,1.192,59223700
 2020/11/13,1.184,1.19,1.172,1.181,44133600
 2020/11/16,1.184,1.231,1.184,1.23,100786800
 2020/11/17,1.227,1.243,1.206,1.214,122697696
 2020/11/18,1.21,1.226,1.197,1.219,81953104
 2020/11/19,1.211,1.229,1.195,1.206,58759900
 2020/11/20,1.2,1.237,1.192,1.236,93378200
 2020/11/23,1.243,1.325,1.243,1.308,143337504
 2020/11/24,1.305,1.322,1.281,1.312,150767808
 2020/11/25,1.318,1.337,1.289,1.291,112606400
 2020/11/26,1.28,1.3,1.278,1.289,78393800
 2020/11/27,1.287,1.301,1.258,1.297,88355904
 2020/11/30,1.293,1.332,1.288,1.297,97299696
 2020/12/01,1.293,1.315,1.285,1.312,77749000
 2020/12/02,1.312,1.336,1.304,1.333,94503400
 2020/12/03,1.324,1.324,1.28,1.283,84706096
 2020/12/04,1.274,1.275,1.253,1.272,110300704
 2020/12/07,1.274,1.29,1.257,1.258,65523100
 2020/12/08,1.256,1.269,1.247,1.258,66112100
 2020/12/09,1.264,1.308,1.264,1.286,140170800
 2020/12/10,1.291,1.302,1.275,1.283,89515904
 2020/12/11,1.303,1.324,1.269,1.287,103868496
 2020/12/14,1.25,1.269,1.201,1.211,102453800
 2020/12/15,1.207,1.21,1.189,1.207,81215504
 2020/12/16,1.206,1.222,1.194,1.196,85099104
 2020/12/17,1.192,1.237,1.181,1.236,128532096
 2020/12/18,1.255,1.318,1.255,1.31,167108896
 2020/12/21,1.322,1.33,1.294,1.324,120799904
 2020/12/22,1.304,1.319,1.248,1.251,93686400
 2020/12/23,1.241,1.296,1.24,1.283,86340200
 2020/12/24,1.289,1.305,1.262,1.299,80182896
 2020/12/25,1.291,1.346,1.275,1.334,106955696
 2020/12/28,1.342,1.366,1.33,1.351,88107904
 2020/12/29,1.346,1.346,1.286,1.294,78806304
 2020/12/30,1.284,1.346,1.276,1.323,89242200
 2020/12/31,1.316,1.331,1.297,1.313,83999104
 2021/01/04,1.301,1.346,1.291,1.344,105910096
 2021/01/05,1.353,1.353,1.283,1.307,130553696
 2021/01/06,1.307,1.325,1.28,1.294,111921696
 2021/01/07,1.296,1.341,1.289,1.317,199107104
 2021/01/08,1.317,1.331,1.292,1.309,119296000
 2021/01/11,1.3,1.3,1.245,1.249,110265000
 2021/01/12,1.242,1.266,1.24,1.265,93006704
 2021/01/13,1.262,1.281,1.244,1.264,110624704
 2021/01/14,1.254,1.26,1.231,1.232,83065504
 2021/01/15,1.241,1.263,1.239,1.261,119157904
 2021/01/18,1.254,1.288,1.248,1.283,103745904
 2021/01/19,1.28,1.312,1.272,1.281,98695104
 2021/01/20,1.28,1.285,1.259,1.279,69431296
 2021/01/21,1.274,1.322,1.274,1.315,120942496
 2021/01/22,1.309,1.314,1.278,1.285,67362096
 2021/01/25,1.28,1.284,1.258,1.273,74909904
 2021/01/26,1.27,1.309,1.269,1.293,97627504
 2021/01/27,1.293,1.317,1.279,1.29,69023600
 2021/01/28,1.27,1.28,1.246,1.251,48637700
