DATE,O,H,L,C,VOLUME
 2020/09/08,2.238,2.256,2.215,2.251,67051300
 2020/09/09,2.155,2.189,2.152,2.168,35091096
 2020/09/10,2.215,2.216,2.194,2.195,58382540
 2020/09/11,2.165,2.175,2.152,2.173,34885600
 2020/09/14,2.17,2.177,2.162,2.176,41873888
 2020/09/15,2.18,2.186,2.17,2.178,55411492
 2020/09/16,2.183,2.202,2.183,2.189,38909900
 2020/09/17,2.175,2.175,2.144,2.146,35853000
 2020/09/18,2.14,2.155,2.133,2.154,32107800
 2020/09/21,2.139,2.141,2.119,2.126,20463400
 2020/09/22,2.112,2.113,2.095,2.099,24174300
 2020/09/23,2.118,2.123,2.109,2.12,19932800
 2020/09/24,2.078,2.096,2.071,2.072,22117300
 2020/09/25,2.085,2.094,2.085,2.089,14441000
 2020/09/28,2.12,2.131,2.112,2.124,64605500
 2020/09/29,2.147,2.156,2.145,2.147,66278400
 2020/09/30,2.147,2.15,2.115,2.124,31026300
 2020/10/09,2.195,2.195,2.18,2.192,35400900
 2020/10/12,2.204,2.21,2.202,2.207,41892400
 2020/10/13,2.236,2.256,2.231,2.243,65611060
 2020/10/14,2.232,2.236,2.224,2.234,63882200
 2020/10/15,2.212,2.212,2.197,2.199,86734704
 2020/10/16,2.205,2.216,2.204,2.21,26611900
 2020/10/19,2.217,2.223,2.207,2.212,46833900
 2020/10/20,2.181,2.181,2.171,2.176,18087400
 2020/10/21,2.176,2.183,2.172,2.182,20068100
 2020/10/22,2.168,2.168,2.15,2.155,54783300
 2020/10/23,2.166,2.18,2.164,2.173,25709100
 2020/10/26,2.171,2.171,2.156,2.161,23730100
 2020/10/27,2.14,2.156,2.138,2.155,47440600
 2020/10/28,2.136,2.138,2.125,2.126,29609300
 2020/10/29,2.081,2.092,2.08,2.088,35023900
 2020/10/30,2.076,2.076,2.043,2.048,50509500
 2020/11/02,2.058,2.073,2.058,2.068,28400300
 2020/11/03,2.091,2.109,2.091,2.106,29123300
 2020/11/04,2.124,2.177,2.124,2.14,102818096
 2020/11/05,2.174,2.186,2.156,2.167,54829200
 2020/11/06,2.186,2.186,2.17,2.176,34108200
 2020/11/09,2.207,2.223,2.206,2.21,51703800
 2020/11/10,2.21,2.217,2.191,2.2,39108100
 2020/11/11,2.199,2.211,2.19,2.21,21803898
 2020/11/12,2.215,2.225,2.21,2.214,20030200
 2020/11/13,2.206,2.214,2.185,2.212,23081100
